State,County,Income
Alabama,Autauga,"48,914"
Alabama,Baldwin,"55,865"
Alabama,Barbour,"40,795"
Alabama,Bibb,"37,175"
Alabama,Blount,"42,852"
Alabama,Bullock,"32,903"
Alabama,Butler,"45,213"
Alabama,Calhoun,"43,045"
Alabama,Chambers,"38,929"
Alabama,Cherokee,"44,622"
Alabama,Chilton,"42,012"
Alabama,Choctaw,"43,289"
Alabama,Clarke,"44,784"
Alabama,Clay,"38,770"
Alabama,Cleburne,"42,777"
Alabama,Coffee,"50,028"
Alabama,Colbert,"43,782"
Alabama,Conecuh,"40,467"
Alabama,Coosa,"38,500"
Alabama,Covington,"41,679"
Alabama,Crenshaw,"45,585"
Alabama,Cullman,"46,762"
Alabama,Dale,"44,101"
Alabama,Dallas,"42,158"
Alabama,DeKalb,"40,068"
Alabama,Elmore,"48,442"
Alabama,Escambia,"39,770"
Alabama,Etowah,"42,571"
Alabama,Fayette,"41,890"
Alabama,Franklin,"40,049"
Alabama,Geneva,"41,771"
Alabama,Greene,"39,661"
Alabama,Hale,"44,293"
Alabama,Henry,"51,489"
Alabama,Houston,"51,215"
Alabama,Jackson,"43,061"
Alabama,Jefferson,"64,006"
Alabama,Lamar,"39,585"
Alabama,Lauderdale,"44,530"
Alabama,Lawrence,"42,081"
Alabama,Lee,"45,046"
Alabama,Limestone,"52,876"
Alabama,Lowndes,"47,285"
Alabama,Macon,"37,946"
Alabama,Madison,"60,198"
Alabama,Marengo,"46,837"
Alabama,Marion,"41,264"
Alabama,Marshall,"45,298"
Alabama,Mobile,"47,372"
Alabama,Monroe,"42,105"
Alabama,Montgomery,"49,165"
Alabama,Morgan,"46,248"
Alabama,Perry,"39,995"
Alabama,Pickens,"42,738"
Alabama,Pike,"45,430"
Alabama,Randolph,"41,647"
Alabama,Russell,"39,584"
Alabama,St. Clair,"47,088"
Alabama,Shelby,"64,523"
Alabama,Sumter,"38,899"
Alabama,Talladega,"41,256"
Alabama,Tallapoosa,"47,953"
Alabama,Tuscaloosa,"40,964"
Alabama,Walker,"45,994"
Alabama,Washington,"43,810"
Alabama,Wilcox,"39,538"
Alabama,Winston,"42,066"
Alaska,Alaska,"65,662"
Alaska,Aleutians East Borough,"58,769"
Alaska,Aleutians West Census Area,"63,537"
Alaska,Anchorage Municipality,"72,331"
Alaska,Bethel Census Area,"46,535"
Alaska,Bristol Bay Borough,"155,951"
Alaska,Chugach Census Area,"68,702"
Alaska,Copper River Census Area,"57,179"
Alaska,Denali Borough,"107,766"
Alaska,Dillingham Census Area,"57,703"
Alaska,Fairbanks North Star Borough,"65,243"
Alaska,Haines Borough,"78,623"
Alaska,Hoonah-Angoon Census Area,"58,965"
Alaska,Juneau City and Borough,"74,872"
Alaska,Kenai Peninsula Borough,"59,626"
Alaska,Ketchikan Gateway Borough,"69,043"
Alaska,Kodiak Island Borough,"68,188"
Alaska,Kusilvak Census Area,"35,394"
Alaska,Lake and Peninsula Borough,"63,407"
Alaska,Matanuska-Susitna Borough,"55,049"
Alaska,Nome Census Area,"56,983"
Alaska,North Slope Borough,"70,272"
Alaska,Northwest Arctic Borough,"51,860"
Alaska,Petersburg Borough,"76,104"
Alaska,Prince of Wales-Hyder Census Area,"51,360"
Alaska,Sitka City and Borough,"75,822"
Alaska,Skagway Municipality,"67,477"
Alaska,Southeast Fairbanks Census Area,"58,798"
Alaska,Wrangell City and Borough,"59,141"
Alaska,Yakutat City and Borough,"61,535"
Alaska,Yukon-Koyukuk Census Area,"61,353"
Alaska,,
Alaska,Arizona,"56,420"
Alaska,Apache,"45,817"
Alaska,Cochise,"49,445"
Alaska,Coconino,"56,505"
Alaska,Gila,"49,250"
Alaska,Graham,"39,014"
Alaska,Greenlee,"48,193"
Alaska,La Paz,"51,897"
Alaska,Maricopa,"61,008"
Alaska,Mohave,"42,777"
Alaska,Navajo,"42,102"
Alaska,Pima,"53,034"
Alaska,Pinal,"44,574"
Alaska,Santa Cruz,"47,119"
Alaska,Yavapai,"50,065"
Alaska,Yuma,"44,285"
Arkansas,Arkansas,"59,129"
Arkansas,Ashley,"43,178"
Arkansas,Baxter,"43,971"
Arkansas,Benton,"94,227"
Arkansas,Boone,"42,474"
Arkansas,Bradley,"46,851"
Arkansas,Calhoun,"45,906"
